dataset,model_group,model,configuration,accuracy,precision,recall,f1_score,training_time_seconds,test_size,train_size
FashionMNIST,Neural Network,NN-1,"784-128-10, ReLU",0.881,0.883069317190008,0.8819964444666454,0.8801619580163624,80.8578085899353,2000,
FashionMNIST,Neural Network,NN-2,"784-256-Dropout(0.3)-128-10, ReLU",0.8745,0.8785291441694774,0.8765081551713848,0.8734822157918583,93.7644989490509,2000,
FashionMNIST,SVM,SVM RBF,"StandardScaler + SVC(kernel='rbf', C=1.0, gamma='scale')",0.8585,0.8554692093724048,0.8581641593534423,0.8557285925854806,8.501462459564209,2000,10000.0
FashionMNIST,SVM,SVM Polynomial,"StandardScaler + SVC(kernel='poly', degree=3, C=1.0, gamma='scale')",0.826,0.8455703619396804,0.825542562229673,0.8310299030266639,10.5832257270813,2000,10000.0
FashionMNIST,SVM,SVM Linear,"StandardScaler + SVC(kernel='linear', C=1.0)",0.8015,0.8015037087422063,0.8004769000312445,0.7994630139750368,8.090991973876953,2000,10000.0
FashionMNIST,SVM,SVM Sigmoid,"StandardScaler + SVC(kernel='sigmoid', C=1.0, gamma='scale')",0.7405,0.7372538953060197,0.7408140457720868,0.7364583777023839,5.915385484695435,2000,10000.0
MNIST,Neural Network,NN-2,"784-256-Dropout(0.3)-128-10, ReLU",0.981,0.980872507804396,0.9808208014055536,0.9808325622426228,93.98598313331604,2000,
MNIST,Neural Network,NN-1,"784-128-10, ReLU",0.9755,0.975307611590463,0.9757635164099158,0.9753806837178488,78.21813583374023,2000,
MNIST,SVM,SVM RBF,"StandardScaler + SVC(kernel='rbf', C=1.0, gamma='scale')",0.9375,0.9386800811754884,0.9365468819513404,0.9368787173590676,10.337077140808104,2000,10000.0
MNIST,SVM,SVM Linear,"StandardScaler + SVC(kernel='linear', C=1.0)",0.9175,0.9177106879143616,0.9155824877148304,0.9161758992145572,4.11592960357666,2000,10000.0
MNIST,SVM,SVM Polynomial,"StandardScaler + SVC(kernel='poly', degree=3, C=1.0, gamma='scale')",0.906,0.9163628710357108,0.9054642793574724,0.907456131768578,20.36637830734253,2000,10000.0
MNIST,SVM,SVM Sigmoid,"StandardScaler + SVC(kernel='sigmoid', C=1.0, gamma='scale')",0.9065,0.9061119367853362,0.9048708391796826,0.9051352861733928,5.884654760360718,2000,10000.0
